Text,Image
urn:cts:greekLit:tlg0012.tlg001.e3:11.182,
urn:cts:greekLit:tlg0012.tlg001.e3:11.183,
urn:cts:greekLit:tlg0012.tlg001.e3:11.184,
urn:cts:greekLit:tlg0012.tlg001.e3:11.185,
urn:cts:greekLit:tlg0012.tlg001.e3:11.186,
urn:cts:greekLit:tlg0012.tlg001.e3:11.187,
urn:cts:greekLit:tlg0012.tlg001.e3:11.188,
urn:cts:greekLit:tlg0012.tlg001.e3:11.189,
urn:cts:greekLit:tlg0012.tlg001.e3:11.190,
urn:cts:greekLit:tlg0012.tlg001.e3:11.191,
urn:cts:greekLit:tlg0012.tlg001.e3:11.192,
urn:cts:greekLit:tlg0012.tlg001.e3:11.193,
urn:cts:greekLit:tlg0012.tlg001.e3:11.194,
urn:cts:greekLit:tlg0012.tlg001.e3:11.195,
urn:cts:greekLit:tlg0012.tlg001.e3:11.196,
urn:cts:greekLit:tlg0012.tlg001.e3:11.197,
urn:cts:greekLit:tlg0012.tlg001.e3:11.198,
urn:cts:greekLit:tlg0012.tlg001.e3:11.199,
urn:cts:greekLit:tlg0012.tlg001.e3:11.200,
urn:cts:greekLit:tlg0012.tlg001.e3:11.201,
urn:cts:greekLit:tlg0012.tlg001.e3:11.202,
urn:cts:greekLit:tlg0012.tlg001.e3:11.203,
urn:cts:greekLit:tlg0012.tlg001.e3:11.204,
urn:cts:greekLit:tlg0012.tlg001.e3:11.205,
urn:cts:greekLit:tlg0012.tlg001.e3:11.206,
urn:cts:greekLit:tlg0012.tlg001.e3:11.207,
urn:cts:greekLit:tlg0012.tlg001.e3:11.208,
urn:cts:greekLit:tlg0012.tlg001.e3:11.209,
urn:cts:greekLit:tlg0012.tlg001.e3:11.210,
urn:cts:greekLit:tlg0012.tlg001.e3:11.211,
urn:cts:greekLit:tlg0012.tlg001.e3:11.212,
urn:cts:greekLit:tlg0012.tlg001.e3:11.213,
urn:cts:greekLit:tlg0012.tlg001.e3:11.214,
urn:cts:greekLit:tlg0012.tlg001.e3:11.215,
urn:cts:greekLit:tlg0012.tlg001.e3:11.216,
urn:cts:greekLit:tlg0012.tlg001.e3:11.217,
urn:cts:greekLit:tlg0012.tlg001.e3:11.218,
