Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:11.108,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.0981,0.2486,0.013,0.0182",4
urn:cts:greekLit:tlg5026.e3.hmt:11.109,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.0985,0.2869,0.0096,0.0201",5
urn:cts:greekLit:tlg5026.e3.hmt:11.110,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.0984,0.3152,0.0078,0.0166",6
urn:cts:greekLit:tlg5026.e3.hmt:11.111,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.0989,0.3793,0.0073,0.012",7
urn:cts:greekLit:tlg5026.e3.hmt:11.112,,8
urn:cts:greekLit:tlg5026.e3.hmt:11.113,,9
urn:cts:greekLit:tlg5026.e3.hmt:11.114,,10
urn:cts:greekLit:tlg5026.e3.hmt:11.115,,11
urn:cts:greekLit:tlg5026.e3.hmt:11.116,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.2193,0.8106,0.0194,0.025",12
urn:cts:greekLit:tlg5026.e3.hmt:11.117,,13
urn:cts:greekLit:tlg5026.e3.hmt:11.118,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.4893,0.2599,0.0125,0.0213",14
urn:cts:greekLit:tlg5026.e3.hmt:11.119,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.4889,0.2775,0.0113,0.017",15
urn:cts:greekLit:tlg5026.e3.hmt:11.120,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.4889,0.2903,0.0105,0.0164",16
urn:cts:greekLit:tlg5026.e3.hmt:11.121,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.7137,0.4565,0.013,0.0285",17
urn:cts:greekLit:tlg5026.e3.hmt:11.122,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.7127,0.6682,0.013,0.027",18
urn:cts:greekLit:tlg5026.e3.hmt:11.123,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.4839,0.7649,0.0108,0.0208",19
