Text,Image
urn:cts:greekLit:tlg0012.tlg001.e3:11.100,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2129,0.4035,0.2284,0.0258"
urn:cts:greekLit:tlg0012.tlg001.e3:11.101,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2129,0.4231,0.2206,0.0258"
urn:cts:greekLit:tlg0012.tlg001.e3:11.102,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2118,0.4373,0.2206,0.0258"
urn:cts:greekLit:tlg0012.tlg001.e3:11.103,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.211,0.4544,0.2251,0.0246"
urn:cts:greekLit:tlg0012.tlg001.e3:11.104,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2107,0.4731,0.2251,0.0246"
urn:cts:greekLit:tlg0012.tlg001.e3:11.105,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2115,0.4894,0.2131,0.0246"
urn:cts:greekLit:tlg0012.tlg001.e3:11.106,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2129,0.5044,0.2315,0.0246"
urn:cts:greekLit:tlg0012.tlg001.e3:11.107,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2124,0.5206,0.2156,0.0246"
urn:cts:greekLit:tlg0012.tlg001.e3:11.108,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2121,0.541,0.2206,0.0258"
urn:cts:greekLit:tlg0012.tlg001.e3:11.109,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2115,0.5565,0.2309,0.0258"
urn:cts:greekLit:tlg0012.tlg001.e3:11.110,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2113,0.5719,0.2253,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e3:11.111,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2107,0.5885,0.2253,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e3:11.112,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2132,0.6056,0.2253,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e3:11.113,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2043,0.6231,0.2295,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e3:11.114,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2129,0.639,0.2217,0.0262"
urn:cts:greekLit:tlg0012.tlg001.e3:11.115,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2129,0.6548,0.2253,0.0262"
urn:cts:greekLit:tlg0012.tlg001.e3:11.116,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2118,0.671,0.2265,0.0262"
urn:cts:greekLit:tlg0012.tlg001.e3:11.117,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2121,0.6877,0.222,0.0229"
urn:cts:greekLit:tlg0012.tlg001.e3:11.118,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2129,0.7052,0.2184,0.0296"
urn:cts:greekLit:tlg0012.tlg001.e3:11.119,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4759,0.3244,0.2178,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.120,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4762,0.3436,0.2227,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.121,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4759,0.3591,0.2192,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.122,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4697,0.3767,0.2243,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.123,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4748,0.3926,0.2202,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.124,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4754,0.4122,0.2202,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.125,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4751,0.4261,0.2202,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.126,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.474,0.4444,0.2202,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.127,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4746,0.4587,0.226,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.128,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4727,0.4775,0.226,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.129,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4724,0.4934,0.226,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.130,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4732,0.5101,0.226,0.0245"
urn:cts:greekLit:tlg0012.tlg001.e3:11.131,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4694,0.5273,0.22,0.0273"
urn:cts:greekLit:tlg0012.tlg001.e3:11.132,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4713,0.5416,0.22,0.0273"
urn:cts:greekLit:tlg0012.tlg001.e3:11.133,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.471,0.5591,0.22,0.0273"
urn:cts:greekLit:tlg0012.tlg001.e3:11.134,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4751,0.5759,0.2145,0.0273"
urn:cts:greekLit:tlg0012.tlg001.e3:11.135,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4751,0.5959,0.2145,0.0229"
urn:cts:greekLit:tlg0012.tlg001.e3:11.136,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4664,0.6102,0.2167,0.0241"
urn:cts:greekLit:tlg0012.tlg001.e3:11.137,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4751,0.6285,0.2197,0.0253"
urn:cts:greekLit:tlg0012.tlg001.e3:11.138,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.468,0.644,0.2096,0.0253"
urn:cts:greekLit:tlg0012.tlg001.e3:11.139,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4746,0.66,0.2072,0.0257"
urn:cts:greekLit:tlg0012.tlg001.e3:11.140,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4748,0.6722,0.1977,0.0302"
urn:cts:greekLit:tlg0012.tlg001.e3:11.141,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4757,0.6934,0.2094,0.0237"
urn:cts:greekLit:tlg0012.tlg001.e3:11.142,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4773,0.7081,0.2118,0.0253"
urn:cts:greekLit:tlg0012.tlg001.e3:11.143,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2265,0.3133,0.2084,0.0356"
urn:cts:greekLit:tlg0012.tlg001.e3:11.144,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2344,0.3382,0.211,0.0217"
urn:cts:greekLit:tlg0012.tlg001.e3:11.145,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2321,0.3541,0.211,0.0285"
