FootnoteUrn,Scholion,TextUrn,Image,Number,Folio,SequenceOnFolio
urn:cite:hmt:e3footnotes.11-73,urn:cts:greekLit:tlg5026.e3.hmt:11.71,urn:cts:greekLit:tlg0012.tlg001.e3:11.184@ἀστεροπὴν,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6235,0.6155,0.019,0.0161",15,urn:cite:hmt:e3bifolio.E3_139v_140r,15
urn:cite:hmt:e3footnotes.11-74,urn:cts:greekLit:tlg5026.e3.hmt:11.72,urn:cts:greekLit:tlg0012.tlg001.e3:11.187@ἂν μέν κεν,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6235,0.6155,0.019,0.0161",16,urn:cite:hmt:e3bifolio.E3_139v_140r,16
urn:cite:hmt:e3footnotes.11-75,urn:cts:greekLit:tlg5026.e3.hmt:11.73,urn:cts:greekLit:tlg0012.tlg001.e3:11.191@βλήμενος,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6457,0.7356,0.019,0.0161",17,urn:cite:hmt:e3bifolio.E3_139v_140r,17
urn:cite:hmt:e3footnotes.11-76,urn:cts:greekLit:tlg5026.e3.hmt:11.74,urn:cts:greekLit:tlg0012.tlg001.e3:11.192@ἐγγυαλίξω,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4044,0.3207,0.0142,0.0164",1,urn:cite:hmt:e3bifolio.E3_140v_141r,1
urn:cite:hmt:e3footnotes.11-77,urn:cts:greekLit:tlg5026.e3.hmt:11.75,urn:cts:greekLit:tlg0012.tlg001.e3:11.194@δύη,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.2602,0.3549,0.0142,0.0164",2,urn:cite:hmt:e3bifolio.E3_140v_141r,2
urn:cite:hmt:e3footnotes.11-78,urn:cts:greekLit:tlg5026.e3.hmt:11.76,urn:cts:greekLit:tlg0012.tlg001.e3:11.198@ἵπποισι,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.3066,0.4234,0.0142,0.0164",3,urn:cite:hmt:e3bifolio.E3_140v_141r,3
urn:cite:hmt:e3footnotes.11-79,urn:cts:greekLit:tlg5026.e3.hmt:11.77,urn:cts:greekLit:tlg0012.tlg001.e3:11.201@τάδε,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.3854,0.4751,0.0142,0.0164",4,urn:cite:hmt:e3bifolio.E3_140v_141r,4
urn:cite:hmt:e3footnotes.11-80,urn:cts:greekLit:tlg5026.e3.hmt:11.78,urn:cts:greekLit:tlg0012.tlg001.e3:11.202@ὀχέων,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.2944,0.6447,0.0142,0.0164",5,urn:cite:hmt:e3bifolio.E3_140v_141r,5
urn:cite:hmt:e3footnotes.11-81,urn:cts:greekLit:tlg5026.e3.hmt:11.79,urn:cts:greekLit:tlg0012.tlg001.e3:11.217@πρῶτος,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4974,0.3239,0.0176,0.021",6,urn:cite:hmt:e3bifolio.E3_140v_141r,6
urn:cite:hmt:e3footnotes.11-82,urn:cts:greekLit:tlg5026.e3.hmt:11.80,urn:cts:greekLit:tlg0012.tlg001.e3:11.218@ἔσπετε,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4979,0.3429,0.0176,0.021",7,urn:cite:hmt:e3bifolio.E3_140v_141r,7
urn:cite:hmt:e3footnotes.11-83,urn:cts:greekLit:tlg5026.e3.hmt:11.81,urn:cts:greekLit:tlg0012.tlg001.e3:11.223@Κισσῆς,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.5021,0.4299,0.0176,0.021",8,urn:cite:hmt:e3bifolio.E3_140v_141r,8
urn:cite:hmt:e3footnotes.11-84,urn:cts:greekLit:tlg5026.e3.hmt:11.82,urn:cts:greekLit:tlg0012.tlg001.e3:11.227@κλέος,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.6341,0.4942,0.0176,0.021",9,urn:cite:hmt:e3bifolio.E3_140v_141r,9
urn:cite:hmt:e3footnotes.11-85,urn:cts:greekLit:tlg5026.e3.hmt:11.83,urn:cts:greekLit:tlg0012.tlg001.e3:11.233@ἅμαρτε,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.5587,0.5989,0.0176,0.021",10,urn:cite:hmt:e3bifolio.E3_140v_141r,10
urn:cite:hmt:e3footnotes.11-86,urn:cts:greekLit:tlg5026.e3.hmt:11.84,urn:cts:greekLit:tlg0012.tlg001.e3:11.234@ζώνην,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.5769,0.6153,0.0176,0.021",11,urn:cite:hmt:e3bifolio.E3_140v_141r,11
urn:cite:hmt:e3footnotes.11-87,urn:cts:greekLit:tlg5026.e3.hmt:11.85,urn:cts:greekLit:tlg0012.tlg001.e3:11.239@ἕλκ᾽ ἐπὶ,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.5114,0.6985,0.0176,0.021",12,urn:cite:hmt:e3bifolio.E3_140v_141r,12
urn:cite:hmt:e3footnotes.11-88,urn:cts:greekLit:tlg5026.e3.hmt:11.86,urn:cts:greekLit:tlg0012.tlg001.e3:11.239@ὥς τε λίς,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.6038,0.701,0.0176,0.021",13,urn:cite:hmt:e3bifolio.E3_140v_141r,13
urn:cite:hmt:e3footnotes.11-89,urn:cts:greekLit:tlg5026.e3.hmt:11.87,urn:cts:greekLit:tlg0012.tlg001.e3:11.242@μνηστῆς,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.3005,0.3092,0.0157,0.0202",1,urn:cite:hmt:e3bifolio.E3_141v_142r,1
urn:cite:hmt:e3footnotes.11-90,urn:cts:greekLit:tlg5026.e3.hmt:11.88,urn:cts:greekLit:tlg0012.tlg001.e3:11.243@χάριν,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.3444,0.3379,0.0157,0.0202",2,urn:cite:hmt:e3bifolio.E3_141v_142r,2
