URN, Image Reference
urn:cts:greekLit:tlg0012.tlg001.msA:11.66, "urn:cite:hmt:vaimg.VA138VN-0640@0.4699,0.5293,0.4309,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.67, "urn:cite:hmt:vaimg.VA138VN-0640@0.4739,0.5481,0.3938,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:11.68, "urn:cite:hmt:vaimg.VA138VN-0640@0.48,0.5624,0.4399,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.69, "urn:cite:hmt:vaimg.VA138VN-0640@0.4749,0.5805,0.4499,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.70, "urn:cite:hmt:vaimg.VA138VN-0640@0.476,0.6008,0.4118,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.71, "urn:cite:hmt:vaimg.VA138VN-0640@0.481,0.6195,0.4038,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.72, "urn:cite:hmt:vaimg.VA138VN-0640@0.487,0.6353,0.4198,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.73, "urn:cite:hmt:vaimg.VA138VN-0640@0.48,0.6549,0.4399,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.74, "urn:cite:hmt:vaimg.VA138VN-0640@0.48,0.6759,0.4218,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.75, "urn:cite:hmt:vaimg.VA138VN-0640@0.487,0.6932,0.4158,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.76, "urn:cite:hmt:vaimg.VA139RN-0311@0.1884,0.2195,0.3808,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.77, "urn:cite:hmt:vaimg.VA139RN-0311@0.1824,0.2436,0.4228,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:11.78, "urn:cite:hmt:vaimg.VA139RN-0311@0.1844,0.2624,0.3958,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.79, "urn:cite:hmt:vaimg.VA139RN-0311@0.1794,0.2812,0.3918,0.0293"
